ccaa_slug,ccaa_name,num_festivales,capacidad_total_estimada,demanda_score_promedio,ahorro_carpooling_pct_promedio,festival_principal_tier1
comunidad-valenciana,Comunidad Valenciana,8,265000,86.7,72,FIB · Festival Internacional de Benicàssim
galicia,Galicia,12,191000,84.1,78,Resurrection Fest
cataluna,Cataluña,4,190000,64.8,72,Primavera Sound Barcelona
madrid,Comunidad de Madrid,5,217500,63.8,70,Mad Cool Festival
andalucia,Andalucía,7,139300,54.1,70,Cala Mijas Fest
pais-vasco,País Vasco,7,135000,53.6,76,Bilbao BBK Live
aragon,Aragón,2,52000,20.1,75,Vive Latino España
asturias,Principado de Asturias,2,40000,18.7,75,Festival Internacional Metrópoli Gijón
castilla-la-mancha,Castilla-La Mancha,1,50000,16.5,72,Viña Rock
murcia,Región de Murcia,1,40000,15.4,70,SOS 4.8 Festival
baleares,Illes Balears,1,35000,14.8,65,Mallorca Live Festival
canarias,Canarias,1,35000,14.8,70,Granca Live Fest
castilla-y-leon,Castilla y León,1,25000,6.2,70,Sonorama Ribera
extremadura,Extremadura,1,3000,3.7,75,Stone & Music Festival Mérida
