empresa,rol_objetivo,ciudad,tipo,tamaño_eventos_año,pain_point,propuesta_valor,prioridad,email_pattern,timing_contacto,notas
"Live Nation Spain","Head of Operations / VP Business Development","Madrid","Promotor",120,"Shuttle subutilizado en festivales y venues grandes; quejas de transporte en RRSS","Plataforma de ride-sharing + gestión de shuttle para todos sus eventos; datos de movilidad de audiencia",5,"info@livenation.es","Q2 2026","Mayor promotor de España; acuerdo marco podría abrir 100+ eventos/año. Contactar a través de LinkedIn."
"Doctor Music Festival","Director de Producción","Barcelona","Promotor",25,"Gestión de transporte peri-urbano para festivales en recintos con parking limitado","Coordinación de carpooling entre asistentes + gestión de shuttle con pre-booking",5,"info@doctormusic.es","Q1-Q2 2026","Organizan Mad Cool y otros festivales urbanos grandes. Contactar 4 meses antes de Mad Cool (junio)."
"Mad Cool Festival","Head of Operations","Madrid","Promotor",8,"Congestión en acceso al recinto IFEMA; shuttle actual con baja ocupación y alto coste","Llenado de shuttle con reservas anticipadas + datos de procedencia de asistentes para optimizar rutas",5,"info@madcoolfestival.es","Ene-Feb 2026","Festival de 70.000 asistentes en IFEMA. Pain point de transporte muy visible. Edición 2026 en julio."
"Primavera Sound","Director de Operaciones","Barcelona","Promotor",12,"Gestión de movilidad para 75.000 asistentes/día en zona del Fòrum; transporte público insuficiente","Ride-sharing pre-evento + coordinación de rutas desde distintas zonas de Barcelona y área metropolitana",5,"info@primaverasound.com","Dic 2025 - Feb 2026","Festival top en España. Pain point clásico: el Fòrum es accesible en metro pero la salida es caótica. Contactar ya."
"Sonar Festival","Head of Partnerships","Barcelona","Promotor",3,"Dos sedes (día y noche) con problema de transporte entre venues; público internacional sin movilidad propia","Widget de transporte integrado en la compra de entrada + shuttle coordinado entre sede de día (Fira) y sede de noche (L'Hospitalet)",5,"info@sonar.es","Ene-Mar 2026","Festival de electrónica internacional; dos sedes complica la logística. Oportunidad de diferencial claro."
"FIB - Festival Internacional de Benicàssim","Director de Operaciones","Benicàssim (Castellón)","Promotor",1,"Benicàssim es un destino que requiere transporte desde Valencia, Castellón y Madrid; parking desbordado cada año","Plataforma de carpooling entre asistentes que llegan de distintas ciudades + gestión de shuttles desde Valencia y Castellón",5,"info@fiberfib.com","Feb-Mar 2026","Festival de 4 días con asistentes de toda España y Europa. Transporte es el pain point histórico del FIB."
"Arenal Sound","Director de Producción","Burriana (Castellón)","Promotor",1,"Burriana es localidad pequeña sin transporte público al festival; 30.000 asistentes/día sin parking suficiente","Gestión completa de rutas de transporte + ride-sharing desde Valencia, Castellón, Sagunto y otras ciudades",5,"info@arenalsound.com","Feb-Mar 2026","Festival valenciano con transporte como problema número uno. Gran oportunidad de piloto."
"Bilbao BBK Live","Head of Operations","Bilbao","Promotor",1,"Kobetamendi es un monte de difícil acceso; el transporte en autobús municipal se colapsa","Gestión de shuttle premium + ride-sharing para asistentes de Bilbao, San Sebastián, Vitoria y Santander",5,"info@bilbaobbklive.com","Ene-Mar 2026","40.000 asistentes/día; Kobetamendi es casi inaccesible en coche. Pain point máximo de transporte."
"WiZink Center","Director de Operaciones","Madrid","Venue",60,"Congestión en Avenida Felipe II post-concierto; parking propio insuficiente para eventos >10.000","Widget de transporte en la web del venue + coordinación de carpooling por zonas de Madrid",5,"contact@wizinkcenter.es","Q2-Q3 2026","Mayor sala cubierta de España (17.000). Acuerdo marco para todos los eventos = alto impacto."
"Palau Sant Jordi","Jefe de Operaciones","Barcelona","Venue",45,"Montjuïc es accesible en telefèric/metro pero la salida simultánea de 18.000 personas es caótica","Coordinación de salida por zonas con ride-sharing pre-agendado; datos de movilidad para el venue",5,"info@palausantjordi.cat","Q2-Q3 2026","Venue icónico de Barcelona; gestiona la movilidad como un problema crítico de seguridad."
"Ticketmaster Spain","Head of Partnerships / BD Manager","Madrid","Ticketing",500,"Checkout de entrada sin diferencial vs competencia; promotores piden soluciones de valor añadido","Widget de transporte en checkout: attach rate +3 % + revenue share 50/50 para Ticketmaster",5,"info@ticketmaster.es","Q1-Q2 2026","Si Ticketmaster integra ConcertRide, acceso inmediato a toda su red de eventos en España."
"Wegow","Head of Business Development","Barcelona","Ticketing",200,"Plataforma joven que necesita diferencial vs Ticketmaster y El Corte Inglés","Integración de transporte en checkout + datos de movilidad como propuesta de valor diferencial para sus promotores",5,"info@wegow.com","Q1-Q2 2026","Startup de ticketing española con crecimiento. Más ágil para integrar; menor burocracia que Ticketmaster."
"Fever","Head of Partnerships","Madrid","Ticketing / Discovery",300,"Plataforma de descubrimiento de eventos sin solución de transporte integrada","Añadir transporte como paso adicional en el funnel de descubrimiento + reserva de Fever",5,"info@feverup.com","Q1-Q2 2026","Fever tiene mucho volumen en Madrid y Barcelona. Integración de transporte puede ser diferencial."
